店名,人均消费,特色菜,评分
拾全九美,¥54,去骨农家靓鸡 五指毛桃汤底 石橄榄汤底,4.5
陌奈花园·西餐烧烤(摩尔城店),¥81, 番茄牛肉意面 澳洲精选谷饲牛排 辣白汁吞拿鱼意面,5
龙姐私房菜,¥79,冷水猪肚 姜葱鸡 丝瓜肉丸鲫鱼鸡蛋汤,4
本岛粥城(风度南路店),¥52,面豉蒸排骨 百酱蒸凤爪 椰汁黄金糕,4
韶江农庄·特色柴火清远鸡·柴火鱼·农家菜(韶关店),¥66,清远柴火大扇鸡 柴火鼎锅饭 正宗农家柴火鸡,4.5
翠发餐室(百年东街店),¥38,黯然销魂饭 小熊冰冰港式奶茶 翠发暴富漏奶华,4.5
风采茶楼.手工点心(幸福家园店),¥44,风采虾饺皇 酱香蒸凤爪 风采红米肠,4.5
晓露·寿喜烧火锅·烤肉(百年东街店),¥64,寿喜烧牛肉 谷饲安格斯牛前胸肉 雪花三角牛肉,5
粤北风味馆,¥56,山坑螺焖鸡 清蒸茄子 南水水库鱼,4.5
南华寺素食馆(南华禅寺店),¥64,脆皮豆腐 素食鸡 南华一品煲,3.5
卢记老字号炖品美食(茗苑花园店),¥71,野山椒蒸竹肠 鸭五件 酸笋田螺煲,3.5
海底捞火锅(摩尔城店),¥92,呼伦贝尔草原肥牛卷 虾滑鱼籽三明治 招牌大颗粒虾滑,4.5
千味·椰浆鸡火锅(百年东街一店),¥60,煲仔饭 脆皮土鸡 现炸椰浆汤底,4.5
開啫·砂锅啫啫煲(百年东街店),¥55,沙姜啫脆皮鸡 咸蛋黄啫黄金鸡中翅 黯然销魂腊味煲仔饭,4
酒拾烤肉(韶关百年东街店),¥62,招牌五花肉 招牌香辣牛肉 和牛嫩五花,5
弘缘素食馆,¥31,石斛汤 单人儿童素食券 有机冰菜,4
家福楼,¥39,猪腩煲 特色血灌肠 酸菜鲈鱼,3.5
